question,answer
 What is  Acne,Acne vulgaris is the formation of comedones  papules  pustules  nodules  and/or cysts as a result of obstruction and inflammation of pilosebaceous units   hair follicles and their accompanying sebaceous gland    Acne develops on the face and upper trunk  It most often affects adolescents 
 What is  Diabetes,Diabetes is a disease that occurs when your blood glucose  also called blood sugar  is too high  Blood glucose is your main source of energy and comes from the food you eat  Insulin  a hormone made by the pancreas  helps glucose from food get into your cells to be used for energy 
 What is  Impetigo,Impetigo   im puh TIE go   is a common and highly contagious skin infection that mainly affects infants and children  Impetigo usually appears as red sores on the face  especially around a child's nose and mouth  and on hands and feet  The sores burst and develop honey colored crusts 
 What is  Hypertension,Hypertension   HTN or HT    also known as high blood pressure   HBP    is a long term medical condition in which the blood pressure in the arteries is persistently elevated  High blood pressure typically does not cause symptoms 
 What is  Peptic ulcer diseae,Peptic ulcer disease   PUD   is a break in the inner lining of the stomach  the first part of the small intestine  or sometimes the lower esophagus  An ulcer in the stomach is called a gastric ulcer  while one in the first part of the intestines is a duodenal ulcer 
 What is  Dimorphic hemorrhoids  piles  ,Hemorrhoids  also spelled haemorrhoids  are vascular structures in the anal canal  In their     Other names  Haemorrhoids  piles  hemorrhoidal disease  
 What is  Common Cold,The common cold is a viral infection of your nose and throat   upper respiratory tract    It's usually harmless  although it might not feel that way  Many types of viruses can cause a common cold 
 What is  Chicken pox,Chickenpox is a highly contagious disease caused by the varicella zoster virus   VZV    It can cause an itchy  blister like rash  The rash first appears on the chest  back  and face  and then spreads over the entire body  causing between 250 and 500 itchy blisters 
 What is  Cervical spondylosis,Cervical spondylosis is a general term for age related wear and tear affecting the spinal disks in your neck  As the disks dehydrate and shrink  signs of osteoarthritis develop  including bony projections along the edges of bones   bone spurs   
 What is  Hyperthyroidism,Hyperthyroidism   overactive thyroid   occurs when your thyroid gland produces too much of the hormone thyroxine  Hyperthyroidism can accelerate your body's metabolism  causing unintentional weight loss and a rapid or irregular heartbeat 
 What is  Urinary tract infection,Urinary tract infection: An infection of the kidney  ureter  bladder  or urethra  Abbreviated UTI  Not everyone with a UTI has symptoms  but common symptoms include a frequent urge to urinate and pain or burning when urinating 
 What is  Varicose veins,A vein that has enlarged and twisted  often appearing as a bulging  blue blood vessel that is clearly visible through the skin  Varicose veins are most common in older adults  particularly women  and occur especially on the legs 
 What is  AIDS,Acquired immunodeficiency syndrome   AIDS   is a chronic  potentially life threatening condition caused by the human immunodeficiency virus   HIV    By damaging your immune system  HIV interferes with your body's ability to fight infection and disease 
 What is  Paralysis   brain hemorrhage  ,Intracerebral hemorrhage   ICH   is when blood suddenly bursts into brain tissue  causing damage to your brain  Symptoms usually appear suddenly during ICH  They include headache  weakness  confusion  and paralysis  particularly on one side of your body 
 What is  Typhoid,An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi  Typhoid fever has an insidious onset  with fever  headache  constipation  malaise  chills  and muscle pain  Diarrhea is uncommon  and vomiting is not usually severe 
 What is  Hepatitis B,Hepatitis B is an infection of your liver  It can cause scarring of the organ  liver failure  and cancer  It can be fatal if it isn't treated  It's spread when people come in contact with the blood  open sores  or body fluids of someone who has the hepatitis B virus 
 What is  Fungal infection,In humans  fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle  Fungi can live in the air  soil  water  and plants  There are also some fungi that live naturally in the human body  Like many microbes  there are helpful fungi and harmful fungi 
 What is  Hepatitis C,Inflammation of the liver due to the hepatitis C virus   HCV    which is usually spread via blood transfusion   rare    hemodialysis  and needle sticks  The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer 
 What is  Migraine,A migraine can cause severe throbbing pain or a pulsing sensation  usually on one side of the head  It's often accompanied by nausea  vomiting  and extreme sensitivity to light and sound  Migraine attacks can last for hours to days  and the pain can be so severe that it interferes with your daily activities 
 What is  Bronchial Asthma,Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow  Due to this swelling  the air path produces excess mucus making it hard to breathe  which results in coughing  short breath  and wheezing  The disease is chronic and interferes with daily working 
 What is  Alcoholic hepatitis,Alcoholic hepatitis is a diseased  inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time  It's also aggravated by binge drinking and ongoing alcohol use  If you develop this condition  you must stop drinking alcohol
 What is  Jaundice,Yellow staining of the skin and sclerae   the whites of the eyes   by abnormally high blood levels of the bile pigment bilirubin  The yellowing extends to other tissues and body fluids  Jaundice was once called the  morbus regius    the regal disease   in the belief that only the touch of a king could cure it
 What is  Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus   HEV    It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water  Hepatitis E does not cause chronic liver disease 
 What is  Dengue,an acute infectious disease caused by a flavivirus   species Dengue virus of the genus Flavivirus    transmitted by aedes mosquitoes  and characterized by headache  severe joint pain  and a rash      called also breakbone fever  dengue fever 
 What is  Hepatitis D,Hepatitis D  also known as the hepatitis delta virus  is an infection that causes the liver to become inflamed  This swelling can impair liver function and cause long term liver problems  including liver scarring and cancer  The condition is caused by the hepatitis D virus   HDV   
 What is  Heart attack,The death of heart muscle due to the loss of blood supply  The loss of blood supply is usually caused by a complete blockage of a coronary artery  one of the arteries that supplies blood to the heart muscle 
 What is  Pneumonia,Pneumonia is an infection in one or both lungs  Bacteria  viruses  and fungi cause it  The infection causes inflammation in the air sacs in your lungs  which are called alveoli  The alveoli fill with fluid or pus  making it difficult to breathe 
 What is  Arthritis,Arthritis is the swelling and tenderness of one or more of your joints  The main symptoms of arthritis are joint pain and stiffness  which typically worsen with age  The most common types of arthritis are osteoarthritis and rheumatoid arthritis 
 What is  Gastroenteritis,Gastroenteritis is an inflammation of the digestive tract  particularly the stomach  and large and small intestines  Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea   abdominal cramps  nausea   and vomiting  
 What is  Tuberculosis,Tuberculosis   TB   is an infectious disease usually caused by Mycobacterium tuberculosis   MTB   bacteria  Tuberculosis generally affects the lungs  but can also affect other parts of the body  Most infections show no symptoms  in which case it is known as latent tuberculosis 
Symptoms for Fungal infection,itching  skin rash  nodal skin eruptions  dischromic  patches             
Symptoms for Allergy, continuous sneezing  shivering  chills  watering from eyes             
Symptoms for GERD, stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain           
Symptoms for Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
Symptoms for Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
Symptoms for Peptic ulcer diseae, vomiting  loss of appetite  abdominal pain  passage of gases  internal itching            
Symptoms for AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
Symptoms for Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
Symptoms for Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
Symptoms for Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
Symptoms for Hypertension , headache  chest pain  loss of balance  lack of concentration             
Symptoms for Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
Symptoms for Cervical spondylosis, back pain  neck pain  dizziness  loss of balance             
Symptoms for Paralysis   brain hemorrhage  , vomiting  headache  weakness of one body side  altered sensorium             
Symptoms for Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine          
Symptoms for Malaria, chills  vomiting  high fever  sweating  headache  nausea  muscle pain          
Symptoms for Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
Symptoms for Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  muscle pain  red spots over body    
Symptoms for Typhoid, chills  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look   typhos    belly pain       
Symptoms for hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
Symptoms for Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
Symptoms for Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  family history            
Symptoms for Hepatitis D, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
Symptoms for Hepatitis E, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
Symptoms for Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
Symptoms for Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
Symptoms for Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
Symptoms for Pneumonia, chills  fatigue  cough  high fever  breathlessness  sweating  malaise  chest pain  fast heart rate  rusty sputum       
Symptoms for Dimorphic hemmorhoids  piles  , constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus            
Symptoms for Heart attack, vomiting  breathlessness  sweating  chest pain             
Symptoms for Varicose veins, fatigue  cramps  bruising  obesity  swollen legs  prominent veins on calf           
Symptoms for Hypothyroidism, fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation    
Symptoms for Hyperthyroidism, vomiting  fatigue  anxiety  sweating  headache  nausea  excessive hunger  drying and tingling lips  slurred speech  irritability  palpitations      
Symptoms for Hypoglycemia, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
Symptoms for Osteoarthristis, joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking           
Symptoms for Arthritis, muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking            
Symptoms for   vertigo   Paroymsal  Positional Vertigo, vomiting  headache  nausea  loss of balance  unsteadiness            
Symptoms for Acne, skin rash  pus filled pimples  blackheads  scurring             
Symptoms for Urinary tract infection, burning micturition  bladder discomfort  continuous feel of urine              
Symptoms for Psoriasis, skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails           
Symptoms for Impetigo, skin rash  high fever  blister  red sore around nose  yellow crust ooze            
Primary duties of  Cardiologist, Cardiologists focus on the treatment of the heart  its blood vessels and heart related issues and diseases  This specialty requires extensive training  They assess a patient's family and medical history to determine potential risk factors  taking action to prevent cardiovascular diseases 
Primary duties of  Epidemiologist, Epidemiologists look for potential diseases that could appear  causing a lot of problems  They search for vaccinations for current terminal diseases such as HIV/AIDS and cancer 
Primary duties of Podiatrist, A podiatrist cares for issues afflicting the feet or ankles  They are often called foot doctors  treating afflictions such as calluses  nail disorders  athlete's foot or other foot infections or injuries 
Primary duties of Audiologist, An audiologist specializes in ear related issues and fit all ages with hearing aids to improve hearing and address hearing loss  Generally  audiologists work in audiology clinics  hospitals  physicians' offices and sometimes in schools 
Primary duties of General practitioner, A general practitioner or family physician cares for the whole family from children to the elderly  giving basic care  They do routine check ups and screening tests  attending to ongoing medical conditions  Usually  they are the first to recognize major health problems  referring patients to a specialist 
Primary duties of Pediatrician, A pediatrician cares for children from birth to adolescence  treating them for a variety of health issues from a common cold to more severe conditions  Their consolation rooms are usually bright and cheerful  appealing to children 
Primary duties of Obstetrics and gynecology physician, Obstetrics and gynecology physicians specialize in medical care related to pregnancy and childbirth  They help to prevent diseases related to the reproductive system 
Primary duties of Otolaryngologist/ENT specialist, An otolaryngologist is commonly known as an  ENT specialist  who concentrates on issues related to the ear  nose and throat  They also care for diseases related to the neck and heat  doing reconstructive and plastic surgery on the neck and head 
Primary duties of  Oncologist, Oncologists care for cancer patients  They focus on the treatment and prevention of cancer  administering chemotherapy and working along with radiation oncologists and surgeons to help patients suffering from cancer  Oncologists spend time with cancer survivors through follow up sessions 
Primary duties of  Dentist, Dentists are doctors of the mouth  They examine teeth and gum health  checking for different issues such as bleeding gums and cavities 
Primary duties of Neonatologist, Newborn premature infants or critically ill infants are the focus of neonatology  a subspecialty of pediatrics  Neonatologists generally work in neonatal intensive care units 
Primary duties of Orthopedist, An orthopedist specializes in correcting disorders  deformities or injuries to the skeleton  They correct functional or congenital bone abnormalities with bracing  surgery or casting 
Primary duties of  Surgeon, Surgeons are known for performing a wide variety of surgeries at the operating table  Surgery is broken up into different specialties such as neurosurgery  cardiovascular surgery  oral surgery  ENT surgery  cardiovascular surgery and general surgery 
Primary duties of Neurologist, A neurologist specializes in care for the nervous system  This includes the brain  nerves and spinal cord  They care for patients who have Alzheimer's  Parkinson's  brain and spinal tumors  epilepsy or have just suffered a stroke and need care and monitoring 
Primary duties of Rheumatologist, A rheumatologist diagnoses and treats allergies and autoimmune diseases  They also treat joint and tissue disorders afflicting the immune system 
Primary duties of Geriatric physician, Geriatric physicians care for the elderly  They treat patients in doctors' offices  their homes  hospitals and assisted living centers 
Primary duties of  Urologist, Urologists care for issues related to the urinary tract  They treat urinary tract infections as well as issues related to the kidneys  bladder  male reproductive organs and adrenal glands 
Primary duties of Gastroenterologist, A gastroenterologist specializes in digestive organs  including the gallbladder  stomach  bowels  liver and pancreas  Patients with persistent heartburn  stomach pain or diarrhea are usually sent to a gastroenterologist 
Primary duties of Dermatologist, Dermatologists care for skin issues such as acne  skin allergies  moles  scars and sun damage  An important aspect of their job is checking patients for skin cancer risk factors 
Primary duties of  Endocrinologist, An endocrinologist treats the endocrine system–the glands producing and secreting hormones that regulate and control almost all of the body's functions  They often treat patients suffering from diabetes or thyroid disease 
Primary duties of Plastic surgeon, Plastic surgeons surgically restore  reconstruct or alter the human body  A plastic surgeon usually performs reconstructive surgery if a patient has body parts damaged by an accident  illness or malformation 
Primary duties of  Psychiatrist, Psychiatrists are medical doctors  they diagnose and treat disorders of the mind  They treat these disorders through a combination of psychotherapeutic treatment and medication 
Primary duties of  Anesthesiologist, An anesthesiologist administers drugs to numb pain or sedate patients during surgery  They monitor patients during surgery  keeping watch on their vital signs  They also often manage hospital emergencies such as sudden breathing problems and cardiac arrest 
Primary duties of  Nephrologist, Nephrologists treat kidney disease and mineral and fluid imbalances linked to kidney disease  They also treat high blood pressure 
Primary duties of  Radiologist, Radiologists use x rays and other imaging technologies to diagnose and detect physiological ailments  Using these methods of technology  they are able to scan a patient's body for cancer cells or look for breaks in fractures in accident victims 
  hi how are you doing  ,   im fine how about yourself    
  im fine how about yourself  ,  im pretty good thanks for asking   
  im pretty good thanks for asking  ,  no problem so how have you been   
tell me about you,I am a smart chatbot and can help people get clarity about their queries in health care
police station number and fire station,100 and 101
Ambulance number,108 or 102
railways enquiry number,you can call to 139
MEDICOVER HOSPITAL number,040-68334455
Blood banks in Visakhapatnam,"Apollo Hospital Blood Bank  Waltair Main Road, Visakhapatnam -2. Tel: 0891-2727272"
What to do if Cuts     ,     Wash the cut properly to prevent infection and stop the bleeding by applying pressure for minutes until bleeding stops   Apply Petroleum Jelly to make sure that the wound is moist for quick healing   Finally cover the cut with a sterile bandage   Pain relievers such as acetaminophen can be applied       
How to cure Cuts    ,     Wash the cut properly to prevent infection and stop the bleeding by applying pressure for minutes until bleeding stops   Apply Petroleum Jelly to make sure that the wound is moist for quick healing   Finally cover the cut with a sterile bandage   Pain relievers such as acetaminophen can be applied       
Which medicine to apply for Cuts   ,     Wash the cut properly to prevent infection and stop the bleeding by applying pressure for minutes until bleeding stops   Apply Petroleum Jelly to make sure that the wound is moist for quick healing   Finally cover the cut with a sterile bandage   Pain relievers such as acetaminophen can be applied       
what to apply on cuts,     Wash the cut properly to prevent infection and stop the bleeding by applying pressure for minutes until bleeding stops   Apply Petroleum Jelly to make sure that the wound is moist for quick healing   Finally cover the cut with a sterile bandage   Pain relievers such as acetaminophen can be applied       
Cuts,     Wash the cut properly to prevent infection and stop the bleeding by applying pressure for minutes until bleeding stops   Apply Petroleum Jelly to make sure that the wound is moist for quick healing   Finally cover the cut with a sterile bandage   Pain relievers such as acetaminophen can be applied       
 how do you treat abrasions       ,Begin with washed hands Gently clean the area with cool to lukewarm water and mild soap Remove dirt or other particles from the wound using sterilized tweezers For a mild scrape thats not bleeding leave the wound uncovered If the wound is bleeding use a clean cloth or bandage and apply gentle pressure to the area to stop any bleeding Cover a wound that bled with a thin layer of topical antibiotic ointment like Bacitracin or a sterile moisture barrier ointment like Aquaphor Cover it with a clean bandage or gauze Gently clean the wound and change the ointment and bandage once per day Watch the area for signs of infection like pain or redness and swelling See your doctor if you suspect infection 
 Do Abrasions cause scars   , Begin with washed hands  Gently clean the area with cool to lukewarm water and mild soap   Remove dirt or other particles from the wound using sterilized tweezers  For a mild scrape thats not bleeding leave the wound uncovered  If the wound is bleeding use a clean cloth or bandage and apply gentle pressure to the area to stop any bleeding  Cover a wound that bled with a thin layer of topical antibiotic ointment like Bacitracin or a sterile moisture barrier ointment like Aquaphor   Cover it with a clean bandage or gauze   Gently clean the wound and change the ointment and bandage once per day  Watch the area for signs of infection like pain or redness and swelling   See your doctor if you suspect infection       
 Abrasions   ,Begin with washed hands Gently clean the area with cool to lukewarm water and mild soap Remove dirt or other particles from the wound using sterilized tweezers For a mild scrape thats not bleeding leave the wound uncovered If the wound is bleeding use a clean cloth or bandage and apply gentle pressure to the area to stop any bleeding Cover a wound that bled with a thin layer of topical antibiotic ointment like Bacitracin or a sterile moisture barrier ointment like Aquaphor Cover it with a clean bandage or gauze Gently clean the wound and change the ointment and bandage once per day Watch the area for signs of infection like pain or redness and swelling See your doctor if you suspect infection 
 what to do if abrasions    ,Begin with washed hands Gently clean the area with cool to lukewarm water and mild soap Remove dirt or other particles from the wound using sterilized tweezers For a mild scrape thats not bleeding leave the wound uncovered If the wound is bleeding use a clean cloth or bandage and apply gentle pressure to the area to stop any bleeding Cover a wound that bled with a thin layer of topical antibiotic ointment like Bacitracin or a sterile moisture barrier ointment like Aquaphor Cover it with a clean bandage or gauze Gently clean the wound and change the ointment and bandage once per day Watch the area for signs of infection like pain or redness and swelling See your doctor if you suspect infection 
Which medicine to apply for abrasions    ,Begin with washed hands Gently clean the area with cool to lukewarm water and mild soap Remove dirt or other particles from the wound using sterilized tweezers For a mild scrape thats not bleeding leave the wound uncovered If the wound is bleeding use a clean cloth or bandage and apply gentle pressure to the area to stop any bleeding Cover a wound that bled with a thin layer of topical antibiotic ointment like Bacitracin or a sterile moisture barrier ointment like Aquaphor Cover it with a clean bandage or gauze Gently clean the wound and change the ointment and bandage once per day Watch the area for signs of infection like pain or redness and swelling See your doctor if you suspect infection 
How to cure abrasions ,Begin with washed hands Gently clean the area with cool to lukewarm water and mild soap Remove dirt or other particles from the wound using sterilized tweezers For a mild scrape thats not bleeding leave the wound uncovered If the wound is bleeding use a clean cloth or bandage and apply gentle pressure to the area to stop any bleeding Cover a wound that bled with a thin layer of topical antibiotic ointment like Bacitracin or a sterile moisture barrier ointment like Aquaphor Cover it with a clean bandage or gauze Gently clean the wound and change the ointment and bandage once per day Watch the area for signs of infection like pain or redness and swelling See your doctor if you suspect infection 
How do you treat cough ,"Honey and saltwater gargles are popular home remedies for coughing. You can also drink herbal teas made of peppermint, ginger, slippery elm, thyme, turmeric, or marshmallow root."
what to do if i get a cough,"Honey and saltwater gargles are popular home remedies for coughing. You can also drink herbal teas made of peppermint, ginger, slippery elm, thyme, turmeric, or marshmallow root."
Which medicine to take if I get cough ,"Honey and saltwater gargles are popular home remedies for coughing. You can also drink herbal teas made of peppermint, ginger, slippery elm, thyme, turmeric, or marshmallow root."
How do you get rid of cough ,"Honey and saltwater gargles are popular home remedies for coughing. You can also drink herbal teas made of peppermint, ginger, slippery elm, thyme, turmeric, or marshmallow root."
How do you treat Diarrhea    ,      Hydrating the body is essential for recovering from diarrhea  This causes the body to lose electrolytes such as sodium and chloride   It is highly recommended to avoid dairy products as they may worsen diarrhea in some people   However if diarrhea lasts for more than  days seek medical advice to avoid complications       
what to do if i get Diarrhea    ,     Hydrating the body is essential for recovering from diarrhea  This causes the body to lose electrolytes such as sodium and chloride   It is highly recommended to avoid dairy products as they may worsen diarrhea in some people   However if diarrhea lasts for more than  days seek medical advice to avoid complications       
Which medicine to take if I get Diarrhea    ,Hydrating the body is essential for recovering from diarrhea This causes the body to lose electrolytes such as sodium and chloride It is highly recommended to avoid dairy products as they may worsen diarrhea in some people However if diarrhea lasts for more than  days seek medical advice to avoid complications 
How to cure Diarrhea     ,Hydrating the body is essential for recovering from diarrhea This causes the body to lose electrolytes such as sodium and chloride It is highly recommended to avoid dairy products as they may worsen diarrhea in some people However if diarrhea lasts for more than  days seek medical advice to avoid complications 
How do you treat a Cold    ,      Keeping hydrated is absolutely vital to help flush out the cold as well as to break down congestion and keep your throat lubricated   Vitamin C is extremely helpful when fighting infection so at the first sign of a cold be sure to increase your intake by eating plenty of berries citrus fruits papayas broccoli and red peppers which will help keep you protected   When it comes to combating a coldVitamin D is essential in helping to regulate immune response       
what to do if i get a mild Cold  ,     Keeping hydrated is absolutely vital to help flush out the cold as well as to break down congestion and keep your throat lubricated   Vitamin C is extremely helpful when fighting infection so at the first sign of a cold be sure to increase your intake by eating plenty of berries citrus fruits papayas broccoli and red peppers which will help keep you protected   When it comes to combating a coldVitamin D is essential in helping to regulate immune response       
Which medicine to take if I have a Cold   ,     Keeping hydrated is absolutely vital to help flush out the cold as well as to break down congestion and keep your throat lubricated   Vitamin C is extremely helpful when fighting infection so at the first sign of a cold be sure to increase your intake by eating plenty of berries citrus fruits papayas broccoli and red peppers which will help keep you protected   When it comes to combating a coldVitamin D is essential in helping to regulate immune response       
 How to cure Cold     ,     Keeping hydrated is absolutely vital to help flush out the cold as well as to break down congestion and keep your throat lubricated   Vitamin C is extremely helpful when fighting infection so at the first sign of a cold be sure to increase your intake by eating plenty of berries citrus fruits papayas broccoli and red peppers which will help keep you protected   When it comes to combating a coldVitamin D is essential in helping to regulate immune response       
How do you treat sore throat   ,      Make sure you get plenty of rest and drink a lot of fluids   Inhale steamRun hot water in a sink  Drape a towel over you to trap the steam and have the person lean over the sink with the water running   Tell him to breathe deeply through his mouth and nose for  to 0 minutes   Repeat several times a day   Have him sip chicken broth or warm tea with honey   Donâ€™t give honey to a child under  months of age       
